country_or_region,country_code,date,variable,generation_twh,share_of_generation_pct,emissions_mtco2,continent,ember_region,eu_flag,g20_flag,g7_flag,oecd_flag,region_demand_rank,oecd_demand_rank,eu_demand_rank,global_fuel_rank,latest_year,coal_deadline,clean_deadline
Argentina,ARG,2018-01-01,Bioenergy,0.02,0.16,0.0,South America,Latin America and Caribbean,0.0,1.0,0.0,0.0,3.0,,,30.0,2024,2040,2040
Argentina,ARG,2018-01-01,Clean,4.41,34.57,0.09,South America,Latin America and Caribbean,0.0,1.0,0.0,0.0,3.0,,,,2024,2040,2040
Argentina,ARG,2018-01-01,Coal,0.26,2.04,0.24,South America,Latin America and Caribbean,0.0,1.0,0.0,0.0,3.0,,,59.0,2024,2040,2040
Argentina,ARG,2018-01-01,Fossil,8.35,65.44,5.07,South America,Latin America and Caribbean,0.0,1.0,0.0,0.0,3.0,,,,2024,2040,2040
Argentina,ARG,2018-01-01,Gas,7.79,61.05,4.62,South America,Latin America and Caribbean,0.0,1.0,0.0,0.0,3.0,,,19.0,2024,2040,2040
Argentina,ARG,2018-01-01,Hydro,3.69,28.92,0.09,South America,Latin America and Caribbean,0.0,1.0,0.0,0.0,3.0,,,22.0,2024,2040,2040
Argentina,ARG,2018-01-01,Nuclear,0.64,5.02,0.0,South America,Latin America and Caribbean,0.0,1.0,0.0,0.0,3.0,,,27.0,2024,2040,2040
Argentina,ARG,2018-01-01,Other Fossil,0.3,2.35,0.21,South America,Latin America and Caribbean,0.0,1.0,0.0,0.0,3.0,,,22.0,2024,2040,2040
Argentina,ARG,2018-01-01,Solar,0.0,0.0,0.0,South America,Latin America and Caribbean,0.0,1.0,0.0,0.0,3.0,,,37.0,2024,2040,2040
Argentina,ARG,2018-01-01,Wind,0.06,0.47,0.0,South America,Latin America and Caribbean,0.0,1.0,0.0,0.0,3.0,,,20.0,2024,2040,2040
Argentina,ARG,2018-01-01,Wind and solar,0.06,0.47,0.0,South America,Latin America and Caribbean,0.0,1.0,0.0,0.0,3.0,,,,2024,2040,2040
Argentina,ARG,2018-02-01,Bioenergy,0.02,0.17,0.0,South America,Latin America and Caribbean,0.0,1.0,0.0,0.0,3.0,,,30.0,2024,2040,2040
Argentina,ARG,2018-02-01,Clean,3.9,33.17,0.08,South America,Latin America and Caribbean,0.0,1.0,0.0,0.0,3.0,,,,2024,2040,2040
Argentina,ARG,2018-02-01,Coal,0.24,2.04,0.22,South America,Latin America and Caribbean,0.0,1.0,0.0,0.0,3.0,,,59.0,2024,2040,2040
Argentina,ARG,2018-02-01,Fossil,7.86,66.84,4.76,South America,Latin America and Caribbean,0.0,1.0,0.0,0.0,3.0,,,,2024,2040,2040
Argentina,ARG,2018-02-01,Gas,7.35,62.5,4.35,South America,Latin America and Caribbean,0.0,1.0,0.0,0.0,3.0,,,19.0,2024,2040,2040
Argentina,ARG,2018-02-01,Hydro,3.26,27.72,0.08,South America,Latin America and Caribbean,0.0,1.0,0.0,0.0,3.0,,,22.0,2024,2040,2040
Argentina,ARG,2018-02-01,Nuclear,0.57,4.85,0.0,South America,Latin America and Caribbean,0.0,1.0,0.0,0.0,3.0,,,27.0,2024,2040,2040
Argentina,ARG,2018-02-01,Other Fossil,0.27,2.3,0.19,South America,Latin America and Caribbean,0.0,1.0,0.0,0.0,3.0,,,22.0,2024,2040,2040
Argentina,ARG,2018-02-01,Solar,0.0,0.0,0.0,South America,Latin America and Caribbean,0.0,1.0,0.0,0.0,3.0,,,37.0,2024,2040,2040
Argentina,ARG,2018-02-01,Wind,0.05,0.43,0.0,South America,Latin America and Caribbean,0.0,1.0,0.0,0.0,3.0,,,20.0,2024,2040,2040
Argentina,ARG,2018-02-01,Wind and solar,0.05,0.43,0.0,South America,Latin America and Caribbean,0.0,1.0,0.0,0.0,3.0,,,,2024,2040,2040
Argentina,ARG,2018-03-01,Bioenergy,0.02,0.17,0.0,South America,Latin America and Caribbean,0.0,1.0,0.0,0.0,3.0,,,30.0,2024,2040,2040
Argentina,ARG,2018-03-01,Clean,3.9,33.56,0.08,South America,Latin America and Caribbean,0.0,1.0,0.0,0.0,3.0,,,,2024,2040,2040
Argentina,ARG,2018-03-01,Coal,0.26,2.24,0.24,South America,Latin America and Caribbean,0.0,1.0,0.0,0.0,3.0,,,59.0,2024,2040,2040
Argentina,ARG,2018-03-01,Fossil,7.72,66.44,4.68,South America,Latin America and Caribbean,0.0,1.0,0.0,0.0,3.0,,,,2024,2040,2040
Argentina,ARG,2018-03-01,Gas,7.23,62.22,4.28,South America,Latin America and Caribbean,0.0,1.0,0.0,0.0,3.0,,,19.0,2024,2040,2040
Argentina,ARG,2018-03-01,Hydro,3.32,28.57,0.08,South America,Latin America and Caribbean,0.0,1.0,0.0,0.0,3.0,,,22.0,2024,2040,2040
Argentina,ARG,2018-03-01,Nuclear,0.51,4.39,0.0,South America,Latin America and Caribbean,0.0,1.0,0.0,0.0,3.0,,,27.0,2024,2040,2040
Argentina,ARG,2018-03-01,Other Fossil,0.23,1.98,0.16,South America,Latin America and Caribbean,0.0,1.0,0.0,0.0,3.0,,,22.0,2024,2040,2040
Argentina,ARG,2018-03-01,Solar,0.0,0.0,0.0,South America,Latin America and Caribbean,0.0,1.0,0.0,0.0,3.0,,,37.0,2024,2040,2040
Argentina,ARG,2018-03-01,Wind,0.05,0.43,0.0,South America,Latin America and Caribbean,0.0,1.0,0.0,0.0,3.0,,,20.0,2024,2040,2040
Argentina,ARG,2018-03-01,Wind and solar,0.05,0.43,0.0,South America,Latin America and Caribbean,0.0,1.0,0.0,0.0,3.0,,,,2024,2040,2040
Argentina,ARG,2018-04-01,Bioenergy,0.02,0.18,0.0,South America,Latin America and Caribbean,0.0,1.0,0.0,0.0,3.0,,,30.0,2024,2040,2040
Argentina,ARG,2018-04-01,Clean,3.8,34.98,0.08,South America,Latin America and Caribbean,0.0,1.0,0.0,0.0,3.0,,,,2024,2040,2040
Argentina,ARG,2018-04-01,Coal,0.17,1.57,0.16,South America,Latin America and Caribbean,0.0,1.0,0.0,0.0,3.0,,,59.0,2024,2040,2040
Argentina,ARG,2018-04-01,Fossil,7.06,65.01,4.27,South America,Latin America and Caribbean,0.0,1.0,0.0,0.0,3.0,,,,2024,2040,2040
Argentina,ARG,2018-04-01,Gas,6.63,61.05,3.93,South America,Latin America and Caribbean,0.0,1.0,0.0,0.0,3.0,,,19.0,2024,2040,2040
Argentina,ARG,2018-04-01,Hydro,3.14,28.91,0.08,South America,Latin America and Caribbean,0.0,1.0,0.0,0.0,3.0,,,22.0,2024,2040,2040
Argentina,ARG,2018-04-01,Nuclear,0.58,5.34,0.0,South America,Latin America and Caribbean,0.0,1.0,0.0,0.0,3.0,,,27.0,2024,2040,2040
Argentina,ARG,2018-04-01,Other Fossil,0.26,2.39,0.18,South America,Latin America and Caribbean,0.0,1.0,0.0,0.0,3.0,,,22.0,2024,2040,2040
Argentina,ARG,2018-04-01,Solar,0.0,0.0,0.0,South America,Latin America and Caribbean,0.0,1.0,0.0,0.0,3.0,,,37.0,2024,2040,2040
Argentina,ARG,2018-04-01,Wind,0.06,0.55,0.0,South America,Latin America and Caribbean,0.0,1.0,0.0,0.0,3.0,,,20.0,2024,2040,2040
Argentina,ARG,2018-04-01,Wind and solar,0.06,0.55,0.0,South America,Latin America and Caribbean,0.0,1.0,0.0,0.0,3.0,,,,2024,2040,2040
Argentina,ARG,2018-05-01,Bioenergy,0.03,0.27,0.01,South America,Latin America and Caribbean,0.0,1.0,0.0,0.0,3.0,,,30.0,2024,2040,2040
Argentina,ARG,2018-05-01,Clean,3.85,35.03,0.08,South America,Latin America and Caribbean,0.0,1.0,0.0,0.0,3.0,,,,2024,2040,2040
Argentina,ARG,2018-05-01,Coal,0.13,1.18,0.12,South America,Latin America and Caribbean,0.0,1.0,0.0,0.0,3.0,,,59.0,2024,2040,2040
Argentina,ARG,2018-05-01,Fossil,7.14,64.97,4.29,South America,Latin America and Caribbean,0.0,1.0,0.0,0.0,3.0,,,,2024,2040,2040
Argentina,ARG,2018-05-01,Gas,6.85,62.33,4.06,South America,Latin America and Caribbean,0.0,1.0,0.0,0.0,3.0,,,19.0,2024,2040,2040
Argentina,ARG,2018-05-01,Hydro,3.01,27.39,0.07,South America,Latin America and Caribbean,0.0,1.0,0.0,0.0,3.0,,,22.0,2024,2040,2040
Argentina,ARG,2018-05-01,Nuclear,0.75,6.82,0.0,South America,Latin America and Caribbean,0.0,1.0,0.0,0.0,3.0,,,27.0,2024,2040,2040
Argentina,ARG,2018-05-01,Other Fossil,0.16,1.46,0.11,South America,Latin America and Caribbean,0.0,1.0,0.0,0.0,3.0,,,22.0,2024,2040,2040
Argentina,ARG,2018-05-01,Solar,0.0,0.0,0.0,South America,Latin America and Caribbean,0.0,1.0,0.0,0.0,3.0,,,37.0,2024,2040,2040
Argentina,ARG,2018-05-01,Wind,0.06,0.55,0.0,South America,Latin America and Caribbean,0.0,1.0,0.0,0.0,3.0,,,20.0,2024,2040,2040
Argentina,ARG,2018-05-01,Wind and solar,0.06,0.55,0.0,South America,Latin America and Caribbean,0.0,1.0,0.0,0.0,3.0,,,,2024,2040,2040
Argentina,ARG,2018-06-01,Bioenergy,0.05,0.41,0.01,South America,Latin America and Caribbean,0.0,1.0,0.0,0.0,3.0,,,30.0,2024,2040,2040
Argentina,ARG,2018-06-01,Clean,4.2,34.12,0.09,South America,Latin America and Caribbean,0.0,1.0,0.0,0.0,3.0,,,,2024,2040,2040
Argentina,ARG,2018-06-01,Coal,0.3,2.44,0.28,South America,Latin America and Caribbean,0.0,1.0,0.0,0.0,3.0,,,59.0,2024,2040,2040
Argentina,ARG,2018-06-01,Fossil,8.11,65.88,4.93,South America,Latin America and Caribbean,0.0,1.0,0.0,0.0,3.0,,,,2024,2040,2040
Argentina,ARG,2018-06-01,Gas,7.55,61.33,4.47,South America,Latin America and Caribbean,0.0,1.0,0.0,0.0,3.0,,,19.0,2024,2040,2040
Argentina,ARG,2018-06-01,Hydro,3.32,26.97,0.08,South America,Latin America and Caribbean,0.0,1.0,0.0,0.0,3.0,,,22.0,2024,2040,2040
Argentina,ARG,2018-06-01,Nuclear,0.74,6.01,0.0,South America,Latin America and Caribbean,0.0,1.0,0.0,0.0,3.0,,,27.0,2024,2040,2040
Argentina,ARG,2018-06-01,Other Fossil,0.26,2.11,0.18,South America,Latin America and Caribbean,0.0,1.0,0.0,0.0,3.0,,,22.0,2024,2040,2040
Argentina,ARG,2018-06-01,Solar,0.0,0.0,0.0,South America,Latin America and Caribbean,0.0,1.0,0.0,0.0,3.0,,,37.0,2024,2040,2040
Argentina,ARG,2018-06-01,Wind,0.09,0.73,0.0,South America,Latin America and Caribbean,0.0,1.0,0.0,0.0,3.0,,,20.0,2024,2040,2040
Argentina,ARG,2018-06-01,Wind and solar,0.09,0.73,0.0,South America,Latin America and Caribbean,0.0,1.0,0.0,0.0,3.0,,,,2024,2040,2040
Argentina,ARG,2018-07-01,Bioenergy,0.05,0.38,0.01,South America,Latin America and Caribbean,0.0,1.0,0.0,0.0,3.0,,,30.0,2024,2040,2040
Argentina,ARG,2018-07-01,Clean,4.55,34.88,0.1,South America,Latin America and Caribbean,0.0,1.0,0.0,0.0,3.0,,,,2024,2040,2040
Argentina,ARG,2018-07-01,Coal,0.31,2.38,0.29,South America,Latin America and Caribbean,0.0,1.0,0.0,0.0,3.0,,,59.0,2024,2040,2040
Argentina,ARG,2018-07-01,Fossil,8.49,65.11,5.16,South America,Latin America and Caribbean,0.0,1.0,0.0,0.0,3.0,,,,2024,2040,2040
Argentina,ARG,2018-07-01,Gas,7.89,60.51,4.67,South America,Latin America and Caribbean,0.0,1.0,0.0,0.0,3.0,,,19.0,2024,2040,2040
Argentina,ARG,2018-07-01,Hydro,3.7,28.37,0.09,South America,Latin America and Caribbean,0.0,1.0,0.0,0.0,3.0,,,22.0,2024,2040,2040
Argentina,ARG,2018-07-01,Nuclear,0.71,5.44,0.0,South America,Latin America and Caribbean,0.0,1.0,0.0,0.0,3.0,,,27.0,2024,2040,2040
Argentina,ARG,2018-07-01,Other Fossil,0.29,2.22,0.2,South America,Latin America and Caribbean,0.0,1.0,0.0,0.0,3.0,,,22.0,2024,2040,2040
Argentina,ARG,2018-07-01,Solar,0.0,0.0,0.0,South America,Latin America and Caribbean,0.0,1.0,0.0,0.0,3.0,,,37.0,2024,2040,2040
Argentina,ARG,2018-07-01,Wind,0.09,0.69,0.0,South America,Latin America and Caribbean,0.0,1.0,0.0,0.0,3.0,,,20.0,2024,2040,2040
Argentina,ARG,2018-07-01,Wind and solar,0.09,0.69,0.0,South America,Latin America and Caribbean,0.0,1.0,0.0,0.0,3.0,,,,2024,2040,2040
